Tech-MB: Tableau 1
Déplacement;;Offensives;;Actions;;Defensive;;Cibles;;Position;P-var
Marche;;Attaque;;Coup de pointe;;Parade directe;;Tête;;1;Haute
Demi-Marche;;Feinte;;Tranché;;Parade en cédant;;Figure;;2;Basse
Retraite;;;;Tranché intérieur;;Parade circulaire;;Visage;;3;
Demi-Retraite;;;;Tranché extérieur;;Parade semi-circulaire;;Épaule;;4;
Déplacement latéral interne;;;;Couronné;;Esquive en sautant;;Poitrine;;5;
Déplacement latéral externe;;;;Couronné revers;;Esquive basse;;Flanc;;6;
Passe avant;;;;Moulinet intérieur;;Esquive latérale intérieure;;Ventre;;7;
Demi-Passe avant;;;;Moulinet extérieur;;Esquive latérale extérieure;;Cuisse;;8;
Passe arrière;;;;Brisé intérieur;;Esquive arrière;;Tibia;;9;
Demi-Passe arrière;;;;Brisé extérieur;;Parade dague directe;;Pied;;;
Changement de garde avant;;;;Moulinet intérieur inversé;;Parade dague circulaire;;;;;
Changement de garde arrière;;;;Moulinet extérieur inversé;;Parade dague semi-circulaire;;;;;
Fente;;;;Brisé intérieur inversé;;Parade bouclier;;;;;
Redoublement de fente;;;;Brisé extérieur inversé;;Parade cape;;;;;
Retour en garde vers l'avant;;;;Dégagement par …;;Parade de main;;;;;
Retour en garde vers l'arrière;;;;Coupé par …;;Déséquilibre;;;;;
Balestra;;;;Enrobement;;Ramassé;;;;;
Bond avant;;;;Terrassement;;Invitation;;;;;
Bond arrière;;;;Banderole;;Parade en croix;;;;;
Flèche;;;;Pression (Jeté);;Parade en double;;;;;
Volte avant;;;;;;;;;;;
Contre-Volte avant;;;;;;;;;;;
Volte arrière;;;;;;;;;;;
Contre-Volte arrière;;;;;;;;;;;
Demi-Volte avant interne;;;;;;;;;;;
Demi-Volte arrière interne;;;;;;;;;;;
Demi-Volte avant externe;;;;;;;;;;;
Demi-Volte arrière externe;;;;;;;;;;;
Quart de Volte avant interne;;;;;;;;;;;
Quart de Volte arrière interne;;;;;;;;;;;
Quart de Volte avant externe;;;;;;;;;;;
Quart de Volte arrière externe;;;;;;;;;;;
Appel de pied avant;;;;;;;;;;;
Appel de pied arrière;;;;;;;;;;;
Fente inversée;;;;;;;;;;;

Model: Tableau 1
;Tireur 1 (gaucher);;;;;;;;Tireur 2;;;;;;
;Offensive;;Cible;Défensive;Position;;Action de jambe;;Offensive;;Cible;Défensive;Position;;Action de jambe
-;JARDIN;;;;;;;;COURT;;;;;;
1;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;

tout: 1er Mort
;Tireur 1 (gaucher);;;;;;;;Tireur 2;;;;;;
;Offensive;;Cible;Défensive;Position;;Action de jambe;;Offensive;;Cible;Défensive;Position;;Action de jambe
-;JARDIN;;;;;;;;COURT;;;;;;
;;;;Invitation;8;;Marche;;;;;;;;Retraite
1;;;;Esquive arrière;;;Retraite;ç;Attaque;Coup de pointe;Avant bras;;;;
2;Feinte;Enlevé diagonal extérieur;Visage;;;;;è;;;;Parade directe;4;;
;;Coupé par …;;;;;;;;;;;;;
3;Attaque;Brisé extérieur;Tête;;;;;è;;;;Esquive arrière;;;
4;;;;Esquive arrière;;;;ç;Attaque;Coup de pointe;Poitrine;;;;
5;Attaque;Tranché extérieur;;;;;Appel de pied avant;è;;;;Esquive arrière;;;
6;;;;Esquive arrière;;;Fente inversée;ç;Attaque;Coup de pointe;Épaule;;;;
;;;;;;;;;;;;;;;
;;;;Invitation;8;;Marche;;;;;;;;
